name,longitude,latitude,address,CITY,STATE,ZIP5,zip4,County
Walgreens 09439,-88.267563,42.030487,600 Villa St,Elgin,IL,60120,6720,KANE 
Food And Fuel Mart,-89.605904,39.792332,817 S Dirksen Pkwy,Springfield,IL,62703,2114,SANGAMON 
CIALES POULTRY,-87.681091,41.917633,2141 W Armitage Ave,Chicago,IL,60647,4515,COOK 
Costco Wholesale 1074,-87.9049,42.237175,25901 Riverwoods Rd,Mettawa,IL,60045,,LAKE 
Costco Wholesale 1085,-87.835045,41.90844,8400 W North Ave,Melrose Park,IL,60160,1698,COOK 
Costco Wholesale 1088,-88.038445,41.723499,830 E Boughton Rd,Bolingbrook,IL,60440,2355,WILL 
Loves Travel Stops 249,-89.561394,39.961529,991 Ann Rutledge Rd,Williamsville,IL,62693,9505,SANGAMON 
Love's Travel Stops 318,-88.908875,38.154739,202 North Ave,Ina,IL,62846,1001,JEFFERSON 
Love's Travel Stop 322,-88.998901,42.455658,13477 Quality Dr,Roscoe,IL,61073,9762,WINNEBAGO 
Love's Travel Stop 351,-89.01004,41.37331,3020 E 8th Rd,Utica,IL,61373,9705,LA SALLE 
Love's Travel Stop 367,-88.760536,40.341461,505 S Persimmon St,Le Roy,IL,61752,1724,MCLEAN 
Love's Travel Stop 384,-89.388893,38.874264,1900 S State Route 127,Greenville,IL,62246,2582,BOND 
I S Food & Liquor Inc,-87.650612,41.779663,1025 W 63rd St,Chicago,IL,60621,1313,COOK 
7-Eleven 33729A,-87.626633,41.89666,45 E Chicago Ave,Chicago,IL,60611,2027,COOK 
Dollar Tree 563,-88.954666,39.915142,1470 Koester Dr,Forsyth,IL,62535,8917,MACON 
Dollar Tree 768,-88.728592,41.94965,2060 Sycamore Rd,Dekalb,IL,60115,2043,DE KALB 
Dollar Tree 1910,-88.188286,39.484264,566 W Lincoln Ave,Charleston,IL,61920,2442,COLES 
Dollar Tree 2112,-88.034912,42.118488,325 E Northwest Hwy,Palatine,IL,60067,8116,COOK 
DOLLAR TREE 3523,-89.4729,41.828617,1630 Miller Rd,Dixon,IL,61021,9648,LEE 
DOLLAR TREE 3559,-88.982491,38.624966,103 Baldridge Rd,Salem,IL,62881,5868,MARION 
DOLLAR TREE 3756,-88.657738,40.873474,1620 W Reynolds St,Pontiac,IL,61764,9646,LIVINGSTON 
DOLLAR TREE 3441,-89.315475,39.572922,1516 W Springfield Rd,Taylorville,IL,62568,2756,CHRISTIAN 
DOLLAR TREE 3633,-88.335701,39.482197,116 Dettro Dr,Mattoon,IL,61938,9012,COLES 
Dollar General 12394,-88.70536,41.341507,1055 Rutland St,Marseilles,IL,61341,1209,LA SALLE 
BP Amoco,-87.806976,41.945518,3611 N Harlem Ave,Chicago,IL,60634,2237,COOK 
Joe's Food & Liquor,-87.719284,41.96841,3626 W Lawrence Ave,Chicago,IL,60625,5684,COOK 
Walgreens 12787,-87.640015,40.138245,700 W Fairchild St,Danville,IL,61832,,VERMILION 
Aldi 79,-88.122177,41.795456,1440 Naperville Wheaton Rd,Naperville,IL,60563,,DU PAGE 
Country Club Hill Food & Liquor,-87.734818,41.557178,4874 W 183rd St,Country Club Hills,IL,60478,,COOK 
PLAZA FOOD & LIQUOR,-87.712311,41.855343,3459 W Ogden Ave,Chicago,IL,60623,2506,COOK 
Azteca Bakery - Elgin  Fresh Market 005,-88.312027,42.026237,306 S Mclean Blvd,Elgin,IL,60123,7137,KANE 
Casey's General Store 2926,-87.850967,41.140541,311 S Kinzie Ave,Bradley,IL,60915,2433,KANKAKEE 
Casey's General Store 2927,-88.410538,40.748768,207 S Center St,Forrest,IL,61741,,LIVINGSTON 
Casey's General Store 2928,-88.37542,40.456036,805 S Sangamon Ave,Gibson City,IL,60936,1746,FORD 
Casey's General Store 2929,-88.097649,40.460411,140 S Market St,Paxton,IL,60957,1222,FORD 
Casey's General Store 2930,-88.155838,40.308041,300 S Century Blvd,Rantoul,IL,61866,2906,CHAMPAIGN 
Casey's General Store 3338,-90.653214,40.458607,1324 E Jackson St,Macomb,IL,61455,2520,MCDONOUGH 
Casey's General Store 2932,-90.027245,40.557423,125 N 5th Ave,Canton,IL,61520,2826,FULTON 
Casey's General Store 3342,-89.145821,41.327648,2950 W 4th St,Peru,IL,61354,,LA SALLE 
Casey's General Store 2934,-88.994476,40.497982,1301 S Main St,Normal,IL,61761,3441,MCLEAN 
Casey's General Store 2935,-90.035652,40.56813,885 N Main St,Canton,IL,61520,1264,FULTON 
Casey's General Store 2937,-89.671768,39.805397,1133 W Jefferson St,Springfield,IL,62702,4801,SANGAMON 
Casey's General Store 2938,-89.30674,39.552238,401 N Cheney St,Taylorville,IL,62568,1136,CHRISTIAN 
Casey's General Store 2939,-89.61039,39.802029,3001 E Clear Lake Ave,Springfield,IL,62702,6012,SANGAMON 
Casey's General Store 2941,-88.546997,39.112804,1101 S Banker St,Effingham,IL,62401,2709,EFFINGHAM 
Casey's General Store 2942,-88.907089,38.323345,617 Salem Rd,Mount Vernon,IL,62864,3538,JEFFERSON 
Casey's General Store 2943,-89.758896,39.588818,14475 Ste Rte 4,Auburn,IL,62615,,SANGAMON 
Tony's Fresh Market 8,-87.840607,42.041809,8900 N Greenwood Ave,Niles,IL,60714,5163,COOK 
Azteca Bakery - Streamwood 008,-88.159988,42.009132,915 E Irving Park Rd,Streamwood,IL,60107,3168,COOK 
Delta-Sonic,-87.737999,41.642971,13740 Cicero Ave,Crestwood,IL,60445,1825,COOK 
Delta-Sonic Carwash Systems Inc,-87.836189,41.908459,8490 W North Ave,Melrose,IL,60160,,COOK 
Delta-Sonic,-88.203568,41.781055,1780 N Aurora Rd,Naperville,IL,60563,,DU PAGE 
Delta-Sonic,-88.125572,41.522568,1812 W Jefferson St,Joliet,IL,60435,6616,WILL 
CHEHADE FOOD & LIQ INC,-87.68087,41.85463,2024 S Leavitt St,Chicago,IL,60608,2526,COOK 
Thornton's 310,-88.164177,42.325569,205 S US Hwy 12,Volo,IL,60073,,LAKE 
Walgreens 9924,-87.607727,41.600857,390 E 162nd St,South Holland,IL,60473,2141,COOK 
Dollar General Store 12621,-87.744492,41.856628,1800 S Cicero Ave,Cicero,IL,60804,2543,COOK 
Dollar Tree 1461,-89.661835,39.182632,1403 W Ferdon St,Litchfield,IL,62056,4448,MONTGOMERY 
Dollar Tree 2747,-89.390701,40.157902,1310 Woodlawn Rd,Lincoln,IL,62656,9785,LOGAN 
Dollar Tree 940,-89.652626,41.81274,4311 E Lincolnway,Sterling,IL,61081,7619,WHITESIDE 
Dollar Tree 3451,-87.883247,41.88522,333 Mannheim Rd,Bellwood,IL,60104,,COOK 
JEWEL 3030,-87.586174,41.757832,7530 S Stony Island Ave,Chicago,IL,60649,3914,COOK 
ACE BAKERY,-87.646141,41.835045,3241 S Halsted St,Chicago,IL,60608,6605,COOK 
Circle K 6741,-87.865265,41.929638,9601 Grand Ave,Franklin Park,IL,60131,3308,COOK 
Circle K 6740,-87.688393,41.735386,2635 W 87th St,Evergreen Park,IL,60805,1102,COOK 
Casey's General Store 2071,-89.380966,38.333244,1327 S Mill St,Nashville,IL,62263,2084,WASHINGTON 
Susana Beverage Depot,-88.140511,42.004616,1509A Irving Park Rd,Hanover Park,IL,60133,2567,COOK 
True Discount Food Mart,-87.803833,41.872234,1155 Garfield St,Oak Park,IL,60304,1858,COOK 
